,Timestamp,STATE,D2,D3,D4,D5,D6,D7,What kind of information have you received about the disease? (Mark all answers that are true),K2,A1,A2,K3,K4,K5,P1,P2,P3,A3,A4,A5,P4,P5,P6,P7,A6,A7,A8,Kindly feel free to provide your suggestions to the government of Nigeria on the control of COVID-19 in Nigeria and the acceptance of COVID-19 vaccine in Nigeria.,date,D1,region,region_code,K1A,K1B,K1C,K1D,K1E,K1F,K2A,K2B,K2C,K2D,K2E,K2F,K2G,K2H,K2I,K2J,K2L,K2M,K2N,K2O,K2P,K2Q,K2R,K2K,K3A,K3B,K3C,K3D,K3E,K3F,K3G,K3H,K3I,K3J,K3K,K4A,K4B,K4C,K4D,K4E,K4F,K4G,K4H,K5A,K5B,K5C,K5D,K5E,K5F,K5G,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P2A,P2B,P2C,P2D,P2E,P2F,P2G,P3A,P3B,P3C,P3D,P3E,suggestions
1,2/13/2021 10:25:31,Oyo,1,2,2,1,1,2,"How to protect yourself from the disease?, Symptoms of the new coronavirus disease, How it is transmitted, What to do if you have the symptoms, Risks and complications","Radio, TV, WhatsApp and Telegram, Social Media (not WhatsApp but Facebook, Twitter, Instagram, e.t.c.), Health unit/Health care worker, Family member, Friends, Community health workers, Red Cross Red Crescent volunteers, Other community mobilizers, Religious leaders, Government, Community leaders, Traditional healers, Traditional midwives, Any person from the community, Political leaders",5,4,"Blood transfusion, Droplets from infected people, Touching contaminated objects/surfaces","Fever, Cough, Shortness of breath and breathing difficulties, Muscle pain","Wash your hands regularly using alcohol or soap and water, Cover your mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough, Eliminate standing water","Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough, Eliminate standing water",I will stay in quarantine,No group is discriminated in my locality,1,2,2,3,3,3,3,2,3,2,Government shld try to improve their health sector and have believed in some natural herb in curing disease like covid 19,2/13/2021,31,SOUTH WEST,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Government shld try to improve their health sector and have believed in some natural herb in curing disease like covid 19
2,2/13/2021 13:33:50,Ogun,2,2,2,1,1,3,How to protect yourself from the disease?,"Social Media (not WhatsApp but Facebook, Twitter, Instagram, e.t.c.)",2,2,"Airborne, Direct contact with infected people.",Cough,"Wash your hands regularly using alcohol or soap and water, Cover your mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough","Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough","I will go to hospital / health unit, I will stay in quarantine",No group is discriminated in my locality,4,2,2,3,5,5,4,2,2,1,,2/13/2021,28,SOUTH WEST,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,
3,2/13/2021 13:34:05,Ogun,2,2,2,1,1,3,"How to protect yourself from the disease?, Symptoms of the new coronavirus disease, How it is transmitted, What to do if you have the symptoms, Risks and complications","Radio, TV, WhatsApp and Telegram, Social Media (not WhatsApp but Facebook, Twitter, Instagram, e.t.c.), Health unit/Health care worker, Friends, Government",1,4,Touching contaminated objects/surfaces,"Fever, Cough, Shortness of breath and breathing difficulties, Headache",Wash your hands regularly using alcohol or soap and water,"Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough, Cook meat and eggs well, Avoid unprotected direct contact with live animals and surfaces in contact with animals.","I will look for more experienced relative to advise me on what to do, I will go to hospital / health unit, I will stay in quarantine",No group is discriminated in my locality,2,1,2,5,5,5,5,2,1,1,,2/13/2021,28,SOUTH WEST,5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,
4,2/13/2021 13:34:13,Lagos,2,2,2,1,1,2,"How to protect yourself from the disease?, Symptoms of the new coronavirus disease, How it is transmitted, What to do if you have the symptoms","TV, WhatsApp and Telegram, Family member, Government, Any person from the community",3,2,"Blood transfusion, Droplets from infected people, Airborne, Direct contact with infected people., Touching contaminated objects/surfaces, Eating Contaminated Food","Fever, Cough, Shortness of breath and breathing difficulties, Headache","Wash your hands regularly using alcohol or soap and water, Cover your mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough, Avoid unprotected direct contact with live animals and surfaces in contact with animals","Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough, Avoid unprotected direct contact with live animals and surfaces in contact with animals.","I will go to hospital / health unit, I will stay in quarantine",No group is discriminated in my locality,5,2,2,3,4,4,4,2,3,3,,2/13/2021,25,SOUTH WEST,5,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,
5,2/13/2021 13:39:36,Lagos,1,2,2,1,1,3,"How to protect yourself from the disease?, Symptoms of the new coronavirus disease, How it is transmitted, What to do if you have the symptoms, Risks and complications",TV,5,5,Airborne,Shortness of breath and breathing difficulties,"Wash your hands regularly using alcohol or soap and water, Cover your mouth and nose when coughing or sneezing","Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough","I will go to hospital / health unit, I will stay in quarantine",Non-Nigerian,3,1,2,5,5,4,5,1,1,2,Government should provide vaccine to the people and distribute to Nigerian free of charge,2/13/2021,25,SOUTH WEST,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Government should provide vaccine to the people and distribute to Nigerian free of charge
6,2/13/2021 13:53:25,Ogun,2,2,2,1,1,2,How to protect yourself from the disease?,"TV, Social Media (not WhatsApp but Facebook, Twitter, Instagram, e.t.c.), Religious leaders",5,4,Don't know,Fever,Cover your mouth and nose when coughing or sneezing,Covering mouth and nose when coughing or sneezing,I will go to hospital / health unit,Non-Nigerian,2,2,2,4,5,5,3,1,1,1,,2/13/2021,28,SOUTH WEST,5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
7,2/13/2021 13:53:45,Ogun,2,2,2,1,1,2,How to protect yourself from the disease?,"TV, Social Media (not WhatsApp but Facebook, Twitter, Instagram, e.t.c.), Religious leaders",5,4,Don't know,Fever,Cover your mouth and nose when coughing or sneezing,Covering mouth and nose when coughing or sneezing,I will go to hospital / health unit,Non-Nigerian,2,2,2,4,5,5,3,1,1,1,,2/13/2021,28,SOUTH WEST,5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
8,2/13/2021 14:02:27,Ogun,2,2,2,2,1,3,"How to protect yourself from the disease?, Symptoms of the new coronavirus disease, What to do if you have the symptoms",TV,3,4,Direct contact with infected people.,"Fever, Cough, Shortness of breath and breathing difficulties","Wash your hands regularly using alcohol or soap and water, Cover your mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough","Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing",I will go to hospital / health unit,No group is discriminated in my locality,2,1,2,3,4,3,3,3,3,1,,2/13/2021,28,SOUTH WEST,5,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
9,2/13/2021 14:36:24,Oyo,1,2,2,2,1,2,"How to protect yourself from the disease?, Symptoms of the new coronavirus disease, How it is transmitted, What to do if you have the symptoms, Risks and complications","Radio, TV, Social Media (not WhatsApp but Facebook, Twitter, Instagram, e.t.c.), Friends",1,5,"Airborne, Touching contaminated objects/surfaces","Shortness of breath and breathing difficulties, Headache, Diarrhea","Wash your hands regularly using alcohol or soap and water, Cover your mouth and nose when coughing or sneezing, Avoid unprotected direct contact with live animals and surfaces in contact with animals","Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing, Avoid unprotected direct contact with live animals and surfaces in contact with animals.","I will look for more experienced relative to advise me on what to do, I will stay in quarantine",No group is discriminated in my locality,1,2,2,4,4,4,4,2,3,1,,2/13/2021,31,SOUTH WEST,5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,
10,2/13/2021 14:39:30,Lagos,1,2,2,2,1,3,How to protect yourself from the disease?,"Social Media (not WhatsApp but Facebook, Twitter, Instagram, e.t.c.)",1,4,"Droplets from infected people, Airborne, Direct contact with infected people., Touching contaminated objects/surfaces, Sexual intercourse contact",Headache,"Wash your hands regularly using alcohol or soap and water, Cover your mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough","Washing hands regularly using alcohol-based cleaner or soap / water, Covering mouth and nose when coughing or sneezing, Avoid close contact with anyone who has a fever and cough",I will go to hospital / health unit,No group is discriminated in my locality,3,2,2,3,2,1,2,2,3,1,,2/13/2021,25,SOUTH WEST,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
